factor_id,source_family,exact_formula,source_reference,required_columns,required_ops,compute_scope,timeframe_mapping,lookback,expected_direction,implementation_status,skip_reason
wq101_alpha34,alpha101,"rank((1-rank(stddev(returns,2)/stddev(returns,5)))+(1-rank(delta($close,1))))","WorldQuant 101 Alpha#34 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close","returns|rolling_std|delta|xs_rank|divide|add",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; rank terms are cross-sectional per timestamp and returns use close/Ref(close,1)-1",6,conditional,implemented_alpha101_panel_batch_04,
wq101_alpha40,alpha101,"-rank(stddev($high,10))*correlation($high,$volume,10)","WorldQuant 101 Alpha#40 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","high|volume","rolling_std|xs_rank|rolling_corr|multiply",panel,"WorldQuant 101 daily formula adapted to ten one-hour bars; rank is cross-sectional per timestamp",10,conditional,implemented_alpha101_panel_batch_04,
wq101_alpha42,alpha101,"rank(vwap-$close)/rank(vwap+$close); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#42 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close|volume|quote_volume","divide|sub|add|xs_rank",panel,"WorldQuant 101 daily formula adapted to current 1h crypto panel; vwap derives from quote_volume/volume and rank is cross-sectional per timestamp",1,conditional,implemented_alpha101_panel_batch_04,
wq101_alpha50,alpha101,"-ts_max(rank(correlation(rank($volume),rank(vwap),5)),5); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#50 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","volume|quote_volume","xs_rank|rolling_corr|rolling_max|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; rank terms are cross-sectional per timestamp and ts_max uses a 5-bar time window",9,conditional,implemented_alpha101_panel_batch_04,
wq101_alpha55,alpha101,"-correlation(rank(($close-ts_min($low,12))/(ts_max($high,12)-ts_min($low,12))),rank($volume),6)","WorldQuant 101 Alpha#55 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","high|low|close|volume","rolling_min|rolling_max|xs_rank|rolling_corr|divide|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; rank terms are cross-sectional per timestamp",17,conditional,implemented_alpha101_panel_batch_04,
wq101_alpha60,alpha101,"-((2*scale(rank((((close-low)-(high-close))/(high-low))*volume)))-scale(rank(ts_argmax(close,10))))","WorldQuant 101 Alpha#60 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","high|low|close|volume","sub|divide|multiply|xs_rank|xs_scale|rolling_idxmax",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; rank/scale terms are cross-sectional per timestamp",10,conditional,implemented_alpha101_panel_batch_04,
wq101_alpha25,alpha101,"rank((-1*returns*adv20*vwap)*($high-$close)); vwap=$quote_volume/$volume; adv20=mean($volume,20)","WorldQuant 101 Alpha#25 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","high|close|volume|quote_volume","returns|rolling_mean|multiply|sub|xs_rank",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; adv20 uses 20 one-hour bars and rank is cross-sectional per timestamp",20,conditional,implemented_alpha101_panel_batch_05,
wq101_alpha28,alpha101,"scale(correlation(adv20,$low,5)+(($high+$low)/2)-$close); adv20=mean($volume,20)","WorldQuant 101 Alpha#28 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","high|low|close|volume","rolling_mean|rolling_corr|add|sub|divide|xs_scale",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; scale is cross-sectional per timestamp",24,conditional,implemented_alpha101_panel_batch_05,
wq101_alpha30,alpha101,"((1-rank(sign(delta($close,1))+sign(delay(delta($close,1),1))+sign(delay(delta($close,1),2))))*sum($volume,5))/sum($volume,20)","WorldQuant 101 Alpha#30 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close|volume","delta|delay|sign|xs_rank|rolling_sum|divide|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; rank is cross-sectional per timestamp",20,conditional,implemented_alpha101_panel_batch_05,
wq101_alpha35,alpha101,"ts_rank($volume,32)*(1-ts_rank($close+$high-$low,16))*(1-ts_rank(returns,32))","WorldQuant 101 Alpha#35 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","high|low|close|volume","returns|ts_rank|add|sub|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; ts_rank is per symbol over rolling windows",33,conditional,implemented_alpha101_panel_batch_05,
wq101_alpha43,alpha101,"ts_rank($volume/adv20,20)*ts_rank(-delta($close,7),8); adv20=mean($volume,20)","WorldQuant 101 Alpha#43 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","close|volume","rolling_mean|divide|delta|ts_rank|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; adv20 uses 20 one-hour bars",39,conditional,implemented_alpha101_panel_batch_05,
wq101_alpha52,alpha101,"-delta(ts_min($low,5),5)*rank((sum(returns,240)-sum(returns,20))/220)*ts_rank($volume,5)","WorldQuant 101 Alpha#52 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","low|close|volume","returns|rolling_min|delta|rolling_sum|xs_rank|ts_rank|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; 240 daily bars map to 240 one-hour bars for controlled formula transfer",241,conditional,implemented_alpha101_panel_batch_05,
wq101_alpha47,alpha101,"rank(1/$close)*($volume/adv20)*$high*rank($high-$close)/(sum($high,5)/5)-rank(vwap-delay(vwap,5)); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#47 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","high|close|volume|quote_volume","divide|rolling_mean|rolling_sum|delay|xs_rank|multiply|sub",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; rank terms are cross-sectional per timestamp",20,conditional,implemented_alpha101_panel_batch_06,
wq101_alpha61,alpha101,"rank(vwap-ts_min(vwap,16))<rank(correlation(vwap,adv180,18)); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#61 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","volume|quote_volume","rolling_min|rolling_mean|rolling_corr|xs_rank|compare",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; boolean comparison emits 0/1 diagnostic values",197,conditional,implemented_alpha101_panel_batch_06,
wq101_alpha65,alpha101,"-1*(rank(correlation((0.00817205*$open+0.99182795*vwap),sum(adv60,9),6))<rank($open-ts_min($open,14))); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#65 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","open|volume|quote_volume","rolling_mean|rolling_sum|rolling_corr|rolling_min|xs_rank|compare|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; decimal windows rounded up and rank is cross-sectional per timestamp",73,conditional,implemented_alpha101_panel_batch_06,
wq101_alpha68,alpha101,"-1*(ts_rank(correlation(rank($high),rank(adv15),9),14)<rank(delta((0.518371*$close+0.481629*$low),1)))","WorldQuant 101 Alpha#68 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","high|low|close|volume","rolling_mean|xs_rank|rolling_corr|ts_rank|delta|compare|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; boolean comparison emits -1/0 diagnostic values",37,conditional,implemented_alpha101_panel_batch_06,
wq101_alpha74,alpha101,"-1*(rank(correlation($close,sum(adv30,37),15))<rank(correlation(rank(0.0261661*$high+0.9738339*vwap),rank($volume),11))); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#74 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","high|close|volume|quote_volume","rolling_mean|rolling_sum|rolling_corr|xs_rank|compare|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; nested adv30/sum/corr warmup retained",80,conditional,implemented_alpha101_panel_batch_06,
wq101_alpha75,alpha101,"rank(correlation(vwap,$volume,4))<rank(correlation(rank($low),rank(adv50),12)); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#75 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","low|volume|quote_volume","rolling_mean|rolling_corr|xs_rank|compare",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; boolean comparison emits 0/1 diagnostic values",61,conditional,implemented_alpha101_panel_batch_06,
wq101_alpha77,alpha101,"min(rank(decay_linear((((($high+$low)/2)+$high)-(vwap+$high)),20)),rank(decay_linear(correlation((($high+$low)/2),adv40,3),6))); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#77 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","high|low|volume|quote_volume","rolling_mean|rolling_corr|decay_linear|xs_rank|row_min",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; decimal windows rounded to nearest integer",47,conditional,implemented_alpha101_panel_batch_07,
wq101_alpha78,alpha101,"rank(correlation(sum((0.352233*$low+(1-0.352233)*vwap),20),sum(adv40,20),7))^rank(correlation(rank(vwap),rank($volume),6)); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#78 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","low|volume|quote_volume","rolling_mean|rolling_sum|rolling_corr|xs_rank|power",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; rank terms are cross-sectional per timestamp",65,conditional,implemented_alpha101_panel_batch_07,
wq101_alpha83,alpha101,"rank(delay((($high-$low)/(sum($close,5)/5)),2))*rank(rank($volume))/((($high-$low)/(sum($close,5)/5))/(vwap-$close)); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#83 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","high|low|close|volume|quote_volume","rolling_sum|delay|divide|xs_rank|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; vwap derives from quote_volume/volume",7,conditional,implemented_alpha101_panel_batch_07,
wq101_alpha85,alpha101,"rank(correlation((0.876703*$high+(1-0.876703)*$close),adv30,10))^rank(correlation(ts_rank((($high+$low)/2),4),ts_rank($volume,10),7))","WorldQuant 101 Alpha#85 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","high|low|close|volume","rolling_mean|rolling_corr|ts_rank|xs_rank|power",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; ADV maps to rolling mean volume",39,conditional,implemented_alpha101_panel_batch_07,
wq101_alpha86,alpha101,"-1*(ts_rank(correlation($close,sum(adv20,15),6),20)<rank($close-vwap)); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#86 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","open|close|volume|quote_volume","rolling_mean|rolling_sum|rolling_corr|ts_rank|xs_rank|compare|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; boolean comparison emits -1/0 diagnostic values",58,conditional,implemented_alpha101_panel_batch_07,
wq101_alpha88,alpha101,"min(rank(decay_linear((rank($open)+rank($low))-(rank($high)+rank($close)),8)),ts_rank(decay_linear(correlation(ts_rank($close,8),ts_rank(adv60,21),8),7),3))","WorldQuant 101 Alpha#88 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","open|high|low|close|volume","rolling_mean|xs_rank|ts_rank|rolling_corr|decay_linear|row_min",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; nested decay and ADV warmups retained",95,conditional,implemented_alpha101_panel_batch_07,
wq101_alpha92,alpha101,"min(ts_rank(decay_linear((((($high+$low)/2)+$close)<($low+$open)),15),19),ts_rank(decay_linear(correlation(rank($low),rank(adv30),8),7),7))","WorldQuant 101 Alpha#92 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","open|high|low|close|volume","rolling_mean|compare|decay_linear|ts_rank|xs_rank|rolling_corr|row_min",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; boolean branch is retained as 0/1 before decay",49,conditional,implemented_alpha101_panel_batch_07,
wq101_alpha94,alpha101,"-1*(rank(vwap-ts_min(vwap,12))^ts_rank(correlation(ts_rank(vwap,20),ts_rank(adv60,4),18),3)); vwap=$quote_volume/$volume","WorldQuant 101 Alpha#94 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","volume|quote_volume","rolling_mean|rolling_min|ts_rank|rolling_corr|xs_rank|power|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; nested VWAP/ADV ranks are panel/time-series mixed",82,conditional,implemented_alpha101_panel_batch_07,
wq101_alpha95,alpha101,"rank($open-ts_min($open,12))<ts_rank(rank(correlation(sum((($high+$low)/2),19),sum(adv40,19),13))^5,12)","WorldQuant 101 Alpha#95 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","open|high|low|volume","rolling_mean|rolling_min|rolling_sum|rolling_corr|xs_rank|ts_rank|power|compare",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; boolean comparison emits 0/1 diagnostic values",81,conditional,implemented_alpha101_panel_batch_07,
wq101_alpha99,alpha101,"-1*(rank(correlation(sum((($high+$low)/2),20),sum(adv60,20),9))<rank(correlation($low,$volume,6)))","WorldQuant 101 Alpha#99 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991","high|low|volume","rolling_mean|rolling_sum|rolling_corr|xs_rank|compare|multiply",panel,"WorldQuant 101 daily formula adapted to one-hour crypto panel; boolean comparison emits -1/0 diagnostic values",87,conditional,implemented_alpha101_panel_batch_07,
q158_klen_open,alpha158,"($high-$low)/$open","Microsoft Qlib Alpha158DL kbar KLEN: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","open|high|low","sub|divide",single_symbol,"daily Alpha158 kbar formula applied to 1h crypto bars",1,conditional,implemented_batch_01,
q158_kup_open,alpha158,"($high-Greater($open,$close))/$open","Microsoft Qlib Alpha158DL kbar KUP: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","open|high|close","row_max|sub|divide",single_symbol,"daily Alpha158 kbar formula applied to 1h crypto bars",1,negative,implemented_batch_01,
q158_klow_open,alpha158,"(Less($open,$close)-$low)/$open","Microsoft Qlib Alpha158DL kbar KLOW: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","open|low|close","row_min|sub|divide",single_symbol,"daily Alpha158 kbar formula applied to 1h crypto bars",1,positive,implemented_batch_01,
q158_ksft_open,alpha158,"(2*$close-$high-$low)/$open","Microsoft Qlib Alpha158DL kbar KSFT: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","open|high|low|close","linear_combination|divide",single_symbol,"daily Alpha158 kbar formula applied to 1h crypto bars",1,positive,implemented_batch_01,
q158_ksft_range,alpha158,"(2*$close-$high-$low)/($high-$low+1e-12)","Microsoft Qlib Alpha158DL kbar KSFT2: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","high|low|close","linear_combination|divide",single_symbol,"daily Alpha158 kbar formula applied to 1h crypto bars",1,positive,implemented_batch_01,
q158_rsv_20h,alpha158,"($close-Min($low,20))/(Max($high,20)-Min($low,20)+1e-12)","Microsoft Qlib Alpha158DL rolling RSV: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","high|low|close","rolling_min|rolling_max|divide",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars",20,conditional,implemented_batch_01,
q158_qtlu_20h,alpha158,"Quantile($close,20,0.8)/$close","Microsoft Qlib Alpha158DL rolling QTLU: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","rolling_quantile|divide",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars",20,conditional,implemented_batch_02,
q158_qtld_20h,alpha158,"Quantile($close,20,0.2)/$close","Microsoft Qlib Alpha158DL rolling QTLD: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","rolling_quantile|divide",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars",20,conditional,implemented_batch_02,
q158_rank_close_20h,alpha158,"Rank($close,20)","Microsoft Qlib Alpha158DL rolling RANK: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","ts_rank",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars",20,conditional,implemented_batch_02,
q158_cntp_20h,alpha158,"Mean($close>Ref($close,1),20)","Microsoft Qlib Alpha158DL rolling CNTP: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","delay|rolling_mean",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars",21,positive,implemented_batch_02,
q158_cntn_20h,alpha158,"Mean($close<Ref($close,1),20)","Microsoft Qlib Alpha158DL rolling CNTN: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","delay|rolling_mean",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars",21,negative,implemented_batch_02,
q158_sumd_20h,alpha158,"(Sum(Greater($close-Ref($close,1),0),20)-Sum(Greater(Ref($close,1)-$close,0),20))/(Sum(Abs($close-Ref($close,1)),20)+1e-12)","Microsoft Qlib Alpha158DL rolling SUMD: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","delay|delta|clip|rolling_sum|divide",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars",21,positive,implemented_batch_02,
q158_beta_20h,alpha158,"Slope($close,20)/$close","Microsoft Qlib Alpha158DL rolling BETA: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","rolling_slope|divide",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars",20,conditional,implemented_batch_03,
q158_rsqr_20h,alpha158,"Rsquare($close,20)","Microsoft Qlib Alpha158DL rolling RSQR: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","rolling_rsquare",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars",20,conditional,implemented_batch_03,
q158_resi_20h,alpha158,"Resi($close,20)/$close","Microsoft Qlib Alpha158DL rolling RESI: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","rolling_residual|divide",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars",20,conditional,implemented_batch_03,
q158_imax_20h,alpha158,"IdxMax($high,20)/20","Microsoft Qlib Alpha158DL rolling IMAX: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","high","rolling_idxmax",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars",20,conditional,implemented_batch_03,
q158_imin_20h,alpha158,"IdxMin($low,20)/20","Microsoft Qlib Alpha158DL rolling IMIN: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","low","rolling_idxmin",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars",20,conditional,implemented_batch_03,
q158_imxd_20h,alpha158,"(IdxMax($high,20)-IdxMin($low,20))/20","Microsoft Qlib Alpha158DL rolling IMXD: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","high|low","rolling_idxmax|rolling_idxmin",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars",20,conditional,implemented_batch_03,
q158_roc_20h,alpha158,"Ref($close,20)/$close","Microsoft Qlib Alpha158DL rolling ROC: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","delay|divide",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars; Ref(20) needs 21 bars",21,conditional,implemented_batch_04,
q158_ma_5h,alpha158,"Mean($close,5)/$close","Microsoft Qlib Alpha158DL rolling MA: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","rolling_mean|divide",single_symbol,"Alpha158 window=5 applied as 5 one-hour bars",5,conditional,implemented_batch_11,
q158_std_5h,alpha158,"Std($close,5)/$close","Microsoft Qlib Alpha158DL rolling STD: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","rolling_std|divide",single_symbol,"Alpha158 window=5 applied as 5 one-hour bars",5,negative,implemented_batch_11,
q158_max_5h,alpha158,"Max($high,5)/$close","Microsoft Qlib Alpha158DL rolling MAX: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","high|close","rolling_max|divide",single_symbol,"Alpha158 window=5 applied as 5 one-hour bars",5,conditional,implemented_batch_11,
q158_min_5h,alpha158,"Min($low,5)/$close","Microsoft Qlib Alpha158DL rolling MIN: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","low|close","rolling_min|divide",single_symbol,"Alpha158 window=5 applied as 5 one-hour bars",5,conditional,implemented_batch_11,
q158_ma_10h,alpha158,"Mean($close,10)/$close","Microsoft Qlib Alpha158DL rolling MA: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","rolling_mean|divide",single_symbol,"Alpha158 window=10 applied as 10 one-hour bars",10,conditional,implemented_batch_12,
q158_std_10h,alpha158,"Std($close,10)/$close","Microsoft Qlib Alpha158DL rolling STD: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","rolling_std|divide",single_symbol,"Alpha158 window=10 applied as 10 one-hour bars",10,negative,implemented_batch_12,
q158_max_10h,alpha158,"Max($high,10)/$close","Microsoft Qlib Alpha158DL rolling MAX: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","high|close","rolling_max|divide",single_symbol,"Alpha158 window=10 applied as 10 one-hour bars",10,conditional,implemented_batch_12,
q158_min_10h,alpha158,"Min($low,10)/$close","Microsoft Qlib Alpha158DL rolling MIN: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","low|close","rolling_min|divide",single_symbol,"Alpha158 window=10 applied as 10 one-hour bars",10,conditional,implemented_batch_12,
q158_ma_20h,alpha158,"Mean($close,20)/$close","Microsoft Qlib Alpha158DL rolling MA: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","rolling_mean|divide",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars",20,conditional,implemented_batch_04,
q158_std_20h,alpha158,"Std($close,20)/$close","Microsoft Qlib Alpha158DL rolling STD: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","rolling_std|divide",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars",20,negative,implemented_batch_04,
q158_max_20h,alpha158,"Max($high,20)/$close","Microsoft Qlib Alpha158DL rolling MAX: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","high|close","rolling_max|divide",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars",20,conditional,implemented_batch_04,
q158_min_20h,alpha158,"Min($low,20)/$close","Microsoft Qlib Alpha158DL rolling MIN: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","low|close","rolling_min|divide",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars",20,conditional,implemented_batch_04,
q158_ma_30h,alpha158,"Mean($close,30)/$close","Microsoft Qlib Alpha158DL rolling MA: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","rolling_mean|divide",single_symbol,"Alpha158 window=30 applied as 30 one-hour bars",30,conditional,implemented_batch_13,
q158_std_30h,alpha158,"Std($close,30)/$close","Microsoft Qlib Alpha158DL rolling STD: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","rolling_std|divide",single_symbol,"Alpha158 window=30 applied as 30 one-hour bars",30,negative,implemented_batch_13,
q158_max_30h,alpha158,"Max($high,30)/$close","Microsoft Qlib Alpha158DL rolling MAX: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","high|close","rolling_max|divide",single_symbol,"Alpha158 window=30 applied as 30 one-hour bars",30,conditional,implemented_batch_13,
q158_min_30h,alpha158,"Min($low,30)/$close","Microsoft Qlib Alpha158DL rolling MIN: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","low|close","rolling_min|divide",single_symbol,"Alpha158 window=30 applied as 30 one-hour bars",30,conditional,implemented_batch_13,
q158_ma_60h,alpha158,"Mean($close,60)/$close","Microsoft Qlib Alpha158DL rolling MA: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","rolling_mean|divide",single_symbol,"Alpha158 window=60 applied as 60 one-hour bars",60,conditional,implemented_batch_14,
q158_std_60h,alpha158,"Std($close,60)/$close","Microsoft Qlib Alpha158DL rolling STD: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","rolling_std|divide",single_symbol,"Alpha158 window=60 applied as 60 one-hour bars",60,negative,implemented_batch_14,
q158_max_60h,alpha158,"Max($high,60)/$close","Microsoft Qlib Alpha158DL rolling MAX: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","high|close","rolling_max|divide",single_symbol,"Alpha158 window=60 applied as 60 one-hour bars",60,conditional,implemented_batch_14,
q158_min_60h,alpha158,"Min($low,60)/$close","Microsoft Qlib Alpha158DL rolling MIN: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","low|close","rolling_min|divide",single_symbol,"Alpha158 window=60 applied as 60 one-hour bars",60,conditional,implemented_batch_14,
q158_rsv_30h,alpha158,"($close-Min($low,30))/(Max($high,30)-Min($low,30)+1e-12)","Microsoft Qlib Alpha158DL rolling RSV: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","high|low|close","rolling_min|rolling_max|divide",single_symbol,"Alpha158 window=30 applied as 30 one-hour bars",30,conditional,implemented_batch_15,
q158_qtlu_30h,alpha158,"Quantile($close,30,0.8)/$close","Microsoft Qlib Alpha158DL rolling QTLU: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","rolling_quantile|divide",single_symbol,"Alpha158 window=30 applied as 30 one-hour bars",30,conditional,implemented_batch_15,
q158_qtld_30h,alpha158,"Quantile($close,30,0.2)/$close","Microsoft Qlib Alpha158DL rolling QTLD: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","rolling_quantile|divide",single_symbol,"Alpha158 window=30 applied as 30 one-hour bars",30,conditional,implemented_batch_15,
q158_rank_close_30h,alpha158,"Rank($close,30)","Microsoft Qlib Alpha158DL rolling RANK: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","ts_rank",single_symbol,"Alpha158 window=30 applied as 30 one-hour bars",30,conditional,implemented_batch_15,
q158_beta_30h,alpha158,"Slope($close,30)/$close","Microsoft Qlib Alpha158DL rolling BETA: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","rolling_slope|divide",single_symbol,"Alpha158 window=30 applied as 30 one-hour bars",30,conditional,implemented_batch_16,
q158_rsqr_30h,alpha158,"Rsquare($close,30)","Microsoft Qlib Alpha158DL rolling RSQR: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","rolling_rsquare",single_symbol,"Alpha158 window=30 applied as 30 one-hour bars",30,conditional,implemented_batch_16,
q158_resi_30h,alpha158,"Resi($close,30)/$close","Microsoft Qlib Alpha158DL rolling RESI: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","rolling_residual|divide",single_symbol,"Alpha158 window=30 applied as 30 one-hour bars",30,conditional,implemented_batch_16,
q158_imax_30h,alpha158,"IdxMax($high,30)/30","Microsoft Qlib Alpha158DL rolling IMAX: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","high","rolling_idxmax",single_symbol,"Alpha158 window=30 applied as 30 one-hour bars",30,conditional,implemented_batch_16,
