factor_id,family,lifecycle_status,name_en,name_zh,family_en,family_zh,formula_en,formula_zh,intuition_en,intuition_zh,required_columns,expected_direction,expected_direction_explanation_en,expected_direction_explanation_zh,known_limitations_en,known_limitations_zh,data_source_type,horizon_notes_en,horizon_notes_zh,status_explanation_en,status_explanation_zh,review_required_flag,metadata_quality,source_fields
q158_volume_ratio_3h,alpha158_volume,DIAGNOSTIC_PROBE,Alpha158 VOLUME3 Ratio,Alpha158 前3期成交量/当前成交量,Alpha158 Volume,Alpha158 成交量标准化,"Ref(volume, 3) / (volume + 1e-12)",前3期成交量 / (当前成交量 + 1e-12),Alpha158 lagged volume ratio over a 4-bar window. It compares prior volume with current volume to diagnose short-horizon volume expansion or fade.,Alpha158滞后成交量比率，使用4根K线窗口，将前期成交量与当前成交量比较，用于诊断短周期成交量扩张或衰退。,volume,conditional,"Direction is conditional: lagged/current volume can mark fading attention, fresh participation, stress selling, or redundant liquidity context.",方向为条件式：滞后/当前成交量可能表示关注度衰退、新资金参与、压力抛售，或仅提供冗余流动性背景。,Raw lagged volume ratio; can be unstable when current volume is tiny and may overlap with volume z-score/liquidity diagnostics.,原始滞后成交量比率；当前成交量很小时可能不稳定，并可能与成交量Z分数/流动性诊断重叠。,HYBRID,Lookback window: 4 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：4根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_volume_ratio_4h,alpha158_volume,DIAGNOSTIC_PROBE,Alpha158 VOLUME4 Ratio,Alpha158 前4期成交量/当前成交量,Alpha158 Volume,Alpha158 成交量标准化,"Ref(volume, 4) / (volume + 1e-12)",前4期成交量 / (当前成交量 + 1e-12),Alpha158 lagged volume ratio over a 5-bar window. It compares prior volume with current volume to diagnose short-horizon volume expansion or fade.,Alpha158滞后成交量比率，使用5根K线窗口，将前期成交量与当前成交量比较，用于诊断短周期成交量扩张或衰退。,volume,conditional,"Direction is conditional: lagged/current volume can mark fading attention, fresh participation, stress selling, or redundant liquidity context.",方向为条件式：滞后/当前成交量可能表示关注度衰退、新资金参与、压力抛售，或仅提供冗余流动性背景。,Raw lagged volume ratio; can be unstable when current volume is tiny and may overlap with volume z-score/liquidity diagnostics.,原始滞后成交量比率；当前成交量很小时可能不稳定，并可能与成交量Z分数/流动性诊断重叠。,HYBRID,Lookback window: 5 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：5根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_qtlu_20h,alpha158_rolling,DIAGNOSTIC_PROBE,Q158 Qtlu 20H,q158_qtlu_20h,Momentum,动量,"Alpha158 QTLU20: Quantile(close,20,0.8) / close; 1h adaptation of upper rolling close quantile","Alpha158 QTLU20: Quantile(close,20,0.8) / close; 1h adaptation of upper rolling close quantile",Measures price continuation over 20h. Higher values indicate stronger recent upward drift.,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,close,conditional,Direction: conditional.,方向：conditional。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 20 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：20根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_qtld_20h,alpha158_rolling,DIAGNOSTIC_PROBE,Q158 Qtld 20H,q158_qtld_20h,Momentum,动量,"Alpha158 QTLD20: Quantile(close,20,0.2) / close; 1h adaptation of lower rolling close quantile","Alpha158 QTLD20: Quantile(close,20,0.2) / close; 1h adaptation of lower rolling close quantile",Measures price continuation over 20h. Higher values indicate stronger recent upward drift.,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,close,conditional,Direction: conditional.,方向：conditional。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 20 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：20根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_rank_close_20h,alpha158_rolling,DIAGNOSTIC_PROBE,Q158 Rank Close 20H,q158_rank_close_20h,Momentum,动量,"Alpha158 RANK20: Rank(close,20); current close percentile within the past 20 one-hour bars","Alpha158 RANK20: Rank(close,20); current close percentile within the past 20 one-hour bars",Measures price continuation over 20h. Higher values indicate stronger recent upward drift.,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,close,conditional,Direction: conditional.,方向：conditional。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 20 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：20根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_cntp_20h,alpha158_rolling,DIAGNOSTIC_PROBE,Q158 Cntp 20H,q158_cntp_20h,Momentum,动量,"Alpha158 CNTP20: Mean(close > Ref(close,1),20); fraction of up bars over the past 20 one-hour bars","Alpha158 CNTP20: Mean(close > Ref(close,1),20); fraction of up bars over the past 20 one-hour bars",Measures price continuation over 21h. Higher values indicate stronger recent upward drift.,衡量21小时内的价格延续性。值越高表示近期向上漂移越强。,close,positive,Higher momentum suggests continued upward drift.,更高的动量值暗示持续的向上漂移。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 21 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：21根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_cntn_20h,alpha158_rolling,DIAGNOSTIC_PROBE,Q158 Cntn 20H,q158_cntn_20h,Momentum,动量,"Alpha158 CNTN20: Mean(close < Ref(close,1),20); fraction of down bars over the past 20 one-hour bars","Alpha158 CNTN20: Mean(close < Ref(close,1),20); fraction of down bars over the past 20 one-hour bars",Measures price continuation over 21h. Higher values indicate stronger recent upward drift.,衡量21小时内的价格延续性。值越高表示近期向上漂移越强。,close,negative,Higher momentum suggests mean-reversion expected.,更高的动量值暗示预期均值回归。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 21 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：21根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_sumd_20h,alpha158_rolling,DIAGNOSTIC_PROBE,Q158 Sumd 20H,q158_sumd_20h,Momentum,动量,"Alpha158 SUMD20: (Sum(up moves,20)-Sum(down moves,20))/(Sum(abs moves,20)+eps); signed move dominance","Alpha158 SUMD20: (Sum(up moves,20)-Sum(down moves,20))/(Sum(abs moves,20)+eps); signed move dominance",Measures price continuation over 21h. Higher values indicate stronger recent upward drift.,衡量21小时内的价格延续性。值越高表示近期向上漂移越强。,close,positive,Higher momentum suggests continued upward drift.,更高的动量值暗示持续的向上漂移。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 21 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：21根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_beta_20h,alpha158_rolling_regression,DIAGNOSTIC_PROBE,Q158 Beta 20H,q158_beta_20h,Momentum,动量,"Alpha158 BETA20: Slope(close,20) / close; rolling linear trend slope normalized by current close","Alpha158 BETA20: Slope(close,20) / close; rolling linear trend slope normalized by current close",Measures price continuation over 20h. Higher values indicate stronger recent upward drift.,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,close,conditional,Direction: conditional.,方向：conditional。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 20 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：20根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_rsqr_20h,alpha158_rolling_regression,DIAGNOSTIC_PROBE,Q158 Rsqr 20H,q158_rsqr_20h,Momentum,动量,"Alpha158 RSQR20: Rsquare(close,20); rolling linear trend fit quality","Alpha158 RSQR20: Rsquare(close,20); rolling linear trend fit quality",Measures price continuation over 20h. Higher values indicate stronger recent upward drift.,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,close,conditional,Direction: conditional.,方向：conditional。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 20 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：20根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_resi_20h,alpha158_rolling_regression,DIAGNOSTIC_PROBE,Q158 Resi 20H,q158_resi_20h,Momentum,动量,"Alpha158 RESI20: Resi(close,20) / close; latest residual from rolling linear trend normalized by current close","Alpha158 RESI20: Resi(close,20) / close; latest residual from rolling linear trend normalized by current close",Measures price continuation over 20h. Higher values indicate stronger recent upward drift.,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,close,conditional,Direction: conditional.,方向：conditional。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 20 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：20根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_imax_20h,alpha158_rolling_position,DIAGNOSTIC_PROBE,Q158 Imax 20H,q158_imax_20h,Momentum,动量,"Alpha158 IMAX20: IdxMax(high,20) / 20; bars since latest 20h high, scaled by window","Alpha158 IMAX20: IdxMax(high,20) / 20; bars since latest 20h high, scaled by window",Measures price continuation over 20h. Higher values indicate stronger recent upward drift.,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,high,conditional,Direction: conditional.,方向：conditional。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 20 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：20根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_imin_20h,alpha158_rolling_position,DIAGNOSTIC_PROBE,Q158 Imin 20H,q158_imin_20h,Momentum,动量,"Alpha158 IMIN20: IdxMin(low,20) / 20; bars since latest 20h low, scaled by window","Alpha158 IMIN20: IdxMin(low,20) / 20; bars since latest 20h low, scaled by window",Measures price continuation over 20h. Higher values indicate stronger recent upward drift.,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,low,conditional,Direction: conditional.,方向：conditional。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 20 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：20根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_imxd_20h,alpha158_rolling_position,DIAGNOSTIC_PROBE,Q158 Imxd 20H,q158_imxd_20h,Momentum,动量,"Alpha158 IMXD20: (IdxMax(high,20)-IdxMin(low,20)) / 20; relative recency of high versus low","Alpha158 IMXD20: (IdxMax(high,20)-IdxMin(low,20)) / 20; relative recency of high versus low",Measures price continuation over 20h. Higher values indicate stronger recent upward drift.,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,"high,low",conditional,Direction: conditional.,方向：conditional。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 20 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：20根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_roc_20h,alpha158_rolling_price,DIAGNOSTIC_PROBE,Q158 Roc 20H,q158_roc_20h,Momentum,动量,"Alpha158 ROC20: Ref(close,20) / close; 1h adaptation of 20-bar rate-of-change ratio","Alpha158 ROC20: Ref(close,20) / close; 1h adaptation of 20-bar rate-of-change ratio",Measures price continuation over 21h. Higher values indicate stronger recent upward drift.,衡量21小时内的价格延续性。值越高表示近期向上漂移越强。,close,conditional,Direction: conditional.,方向：conditional。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 21 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：21根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_ma_5h,alpha158_rolling_price,DIAGNOSTIC_PROBE,Alpha158 MA5 / Close,Alpha158 5期均价/当前收盘价,Momentum,动量,"Mean(close, 5) / close",5期收盘均价 / 当前收盘价,Measures price continuation over 5h. Higher values indicate stronger recent upward drift.,衡量5小时内的价格延续性。值越高表示近期向上漂移越强。,close,conditional,Direction: conditional.,方向：conditional。,Short rolling price average normalized by current close; high redundancy risk with short-horizon momentum and price-location factors.,短周期滚动均价相对当前收盘价；与短周期动量和价格位置因子存在高冗余风险。,MOMENTUM_REVERSAL,Lookback window: 5 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：5根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_std_5h,alpha158_rolling_price,DIAGNOSTIC_PROBE,Alpha158 STD5 / Close,Alpha158 5期价格标准差/当前收盘价,Momentum,动量,"Std(close, 5) / close",5期收盘价标准差 / 当前收盘价,Measures price continuation over 5h. Higher values indicate stronger recent upward drift.,衡量5小时内的价格延续性。值越高表示近期向上漂移越强。,close,negative,Higher momentum suggests mean-reversion expected.,更高的动量值暗示预期均值回归。,Short rolling price dispersion; sensitive to intraday volatility spikes and low-liquidity bars.,短周期价格离散度；对日内波动尖峰和低流动性K线敏感。,MOMENTUM_REVERSAL,Lookback window: 5 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：5根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_max_5h,alpha158_rolling_price,DIAGNOSTIC_PROBE,Alpha158 MAX5 / Close,Alpha158 5期最高价/当前收盘价,Momentum,动量,"Max(high, 5) / close",5期最高价 / 当前收盘价,Measures price continuation over 5h. Higher values indicate stronger recent upward drift.,衡量5小时内的价格延续性。值越高表示近期向上漂移越强。,"close,high",conditional,Direction: conditional.,方向：conditional。,Short rolling high normalized by current close; can overlap with breakout/range-position diagnostics.,短周期最高价相对当前收盘价；可能与突破/区间位置诊断重叠。,MOMENTUM_REVERSAL,Lookback window: 5 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：5根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_min_5h,alpha158_rolling_price,DIAGNOSTIC_PROBE,Alpha158 MIN5 / Close,Alpha158 5期最低价/当前收盘价,Momentum,动量,"Min(low, 5) / close",5期最低价 / 当前收盘价,Measures price continuation over 5h. Higher values indicate stronger recent upward drift.,衡量5小时内的价格延续性。值越高表示近期向上漂移越强。,"close,low",conditional,Direction: conditional.,方向：conditional。,Short rolling low normalized by current close; can overlap with reversal/range-position diagnostics.,短周期最低价相对当前收盘价；可能与反转/区间位置诊断重叠。,MOMENTUM_REVERSAL,Lookback window: 5 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：5根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_ma_10h,alpha158_rolling_price,DIAGNOSTIC_PROBE,Alpha158 MA10 / Close,Alpha158 10期均价/当前收盘价,Momentum,动量,"Mean(close, 10) / close",10期收盘均价 / 当前收盘价,Measures price continuation over 10h. Higher values indicate stronger recent upward drift.,衡量10小时内的价格延续性。值越高表示近期向上漂移越强。,close,conditional,Direction: conditional.,方向：conditional。,Medium-short rolling price average normalized by current close; high redundancy risk with momentum and moving-average gap factors.,中短周期滚动均价相对当前收盘价；与动量和均线差因子存在高冗余风险。,MOMENTUM_REVERSAL,Lookback window: 10 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：10根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_std_10h,alpha158_rolling_price,DIAGNOSTIC_PROBE,Alpha158 STD10 / Close,Alpha158 10期价格标准差/当前收盘价,Momentum,动量,"Std(close, 10) / close",10期收盘价标准差 / 当前收盘价,Measures price continuation over 10h. Higher values indicate stronger recent upward drift.,衡量10小时内的价格延续性。值越高表示近期向上漂移越强。,close,negative,Higher momentum suggests mean-reversion expected.,更高的动量值暗示预期均值回归。,Medium-short rolling price dispersion; sensitive to volatility clustering and low-liquidity bars.,中短周期价格离散度；对波动聚集和低流动性K线敏感。,MOMENTUM_REVERSAL,Lookback window: 10 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：10根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_max_10h,alpha158_rolling_price,DIAGNOSTIC_PROBE,Alpha158 MAX10 / Close,Alpha158 10期最高价/当前收盘价,Momentum,动量,"Max(high, 10) / close",10期最高价 / 当前收盘价,Measures price continuation over 10h. Higher values indicate stronger recent upward drift.,衡量10小时内的价格延续性。值越高表示近期向上漂移越强。,"close,high",conditional,Direction: conditional.,方向：conditional。,Medium-short rolling high normalized by current close; can overlap with breakout/range-position diagnostics.,中短周期最高价相对当前收盘价；可能与突破/区间位置诊断重叠。,MOMENTUM_REVERSAL,Lookback window: 10 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：10根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_min_10h,alpha158_rolling_price,DIAGNOSTIC_PROBE,Alpha158 MIN10 / Close,Alpha158 10期最低价/当前收盘价,Momentum,动量,"Min(low, 10) / close",10期最低价 / 当前收盘价,Measures price continuation over 10h. Higher values indicate stronger recent upward drift.,衡量10小时内的价格延续性。值越高表示近期向上漂移越强。,"close,low",conditional,Direction: conditional.,方向：conditional。,Medium-short rolling low normalized by current close; can overlap with reversal/range-position diagnostics.,中短周期最低价相对当前收盘价；可能与反转/区间位置诊断重叠。,MOMENTUM_REVERSAL,Lookback window: 10 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：10根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_ma_20h,alpha158_rolling_price,DIAGNOSTIC_PROBE,Q158 Ma 20H,q158_ma_20h,Momentum,动量,"Alpha158 MA20: Mean(close,20) / close; rolling average normalized by current close","Alpha158 MA20: Mean(close,20) / close; rolling average normalized by current close",Measures price continuation over 20h. Higher values indicate stronger recent upward drift.,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,close,conditional,Direction: conditional.,方向：conditional。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 20 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：20根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_std_20h,alpha158_rolling_price,DIAGNOSTIC_PROBE,Q158 Std 20H,q158_std_20h,Momentum,动量,"Alpha158 STD20: Std(close,20) / close; rolling close dispersion normalized by current close","Alpha158 STD20: Std(close,20) / close; rolling close dispersion normalized by current close",Measures price continuation over 20h. Higher values indicate stronger recent upward drift.,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,close,negative,Higher momentum suggests mean-reversion expected.,更高的动量值暗示预期均值回归。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 20 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：20根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
q158_max_20h,alpha158_rolling_price,DIAGNOSTIC_PROBE,Q158 Max 20H,q158_max_20h,Momentum,动量,"Alpha158 MAX20: Max(high,20) / close; rolling high normalized by current close","Alpha158 MAX20: Max(high,20) / close; rolling high normalized by current close",Measures price continuation over 20h. Higher values indicate stronger recent upward drift.,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,"close,high",conditional,Direction: conditional.,方向：conditional。,"Standard limitations apply: survivorship bias, look-ahead in label computation, no transaction costs.",标准限制适用：幸存者偏差、标签计算中的前视偏差、无交易成本。,MOMENTUM_REVERSAL,Lookback window: 20 bars. Evaluation covers 1h/4h/24h/72h horizons.,回溯窗口：20根K线。评价覆盖1h/4h/24h/72h视野。,Status: DIAGNOSTIC_PROBE. Diagnostic probe — not yet promoted to active signal.,状态：DIAGNOSTIC_PROBE。诊断探针——尚未升级为活跃信号。,DIAGNOSTIC_PROBE status; conditional direction,SOURCE_MAPPED_REVIEW_REQUIRED,canonical_bars
