factor_id,metadata_quality,qa_notes_zh,qa_notes_en,changed_in_pm14b,needs_human_review,reason
q158_beta_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 20h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_beta_30h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量30小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 30h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_rsqr_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 20h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_rsqr_30h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量30小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 30h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_resi_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 20h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_resi_30h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量30小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 30h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_imax_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 20h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_imax_30h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量30小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 30h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_imin_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 20h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_imxd_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 20h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_roc_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量21小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 21h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_ma_5h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量5小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 5h. Higher values indicate stronger recent upwa,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_std_5h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量5小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 5h. Higher values indicate stronger recent upwa,no,no,DIAGNOSTIC_PROBE status
q158_max_5h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量5小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 5h. Higher values indicate stronger recent upwa,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_min_5h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量5小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 5h. Higher values indicate stronger recent upwa,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_ma_10h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量10小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 10h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_std_10h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量10小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 10h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status
q158_max_10h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量10小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 10h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_min_10h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量10小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 10h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_ma_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 20h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_std_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 20h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status
q158_max_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 20h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_min_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 20h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_ma_30h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量30小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 30h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_std_30h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量30小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 30h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status
q158_max_30h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量30小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 30h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_min_30h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量30小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 30h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_ma_60h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量60小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 60h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_std_60h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量60小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 60h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status
q158_max_60h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量60小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 60h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_min_60h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量60小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 60h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_cntd_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量21小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 21h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status
q158_cntd_30h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量31小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 31h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status
q158_corr_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 20h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_cord_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量21小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 21h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_sump_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量21小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 21h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status
q158_sumn_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量21小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 21h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status
q158_vma_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 20h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_vstd_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 20h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_wvma_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量21小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 21h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status
q158_vsump_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量21小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 21h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_vsumn_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量21小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 21h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
q158_vsumd_20h,SOURCE_MAPPED_REVIEW_REQUIRED,衡量21小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 21h. Higher values indicate stronger recent upw,no,no,DIAGNOSTIC_PROBE status; conditional direction
vwap_dev_20h,DIRECTION_AMBIGUOUS,20小时VWAP偏离：当前价格偏离20小时成交量加权均价的程度。正值=价格高于VWAP。,20h VWAP deviation: how far current price is from the 20-hour volume-weighted av,yes,yes,DIAGNOSTIC_PROBE status; conditional direction
wvma_20h,COMPLETE,"20小时量加权波动率：std(ret×vol,20)/mean(vol,20)。按成交量加权收益波动——高成交量的大波动权重更高。","20h volume-weighted volatility: std(ret×vol,20)/mean(vol,20). Weights return vol",yes,no,DIAGNOSTIC_PROBE status
vol_ret_corr_20h,DIRECTION_AMBIGUOUS,"20小时量价相关：corr(小时收益, 成交量变化, 20)。正值=量价齐升（关注/确认）。负值=下跌放量（恐慌）。","20h volume-return correlation: corr(hourly return, volume change, 20). Positive ",yes,yes,DIAGNOSTIC_PROBE status; conditional direction
intraday_ret,DIRECTION_AMBIGUOUS,日内收益：(收盘-开盘)/开盘。当前K线的开盘到收盘收益。,Intraday return: (close-open)/open. Simple open-to-close return for the current ,yes,yes,DIAGNOSTIC_PROBE status; conditional direction
klow_close,COMPLETE,"下影线/收盘价：(min(开盘,收盘)-最低)/收盘。衡量下影线占价格的比例。下影线越长=买压越强。","Lower wick / close: (min(open,close)-low)/close. Measures the lower shadow as a ",yes,no,DIAGNOSTIC_PROBE status
ksft_5h,DIRECTION_AMBIGUOUS,5小时收益偏度：衡量5根K线小时收益的不对称性。正偏度=偶发大涨。,5-hour return skewness: measures asymmetry of hourly returns over 5 bars. Positi,yes,yes,DIAGNOSTIC_PROBE status; conditional direction
tech_macd,COMPLETE,MACD柱状图：EMA12与EMA26信号线的差值。经典趋势跟踪指标。,MACD histogram: difference between EMA12 and EMA26 signal line. Classic trend-fo,yes,no,DIAGNOSTIC_PROBE status
tech_atr,DIRECTION_AMBIGUOUS,14根K线ATR（平均真实波幅）：衡量14根K线的平均区间。纯波动率指标，无方向性。,14-bar ATR (Average True Range): measures average bar range over 14 bars. Pure v,yes,yes,DIAGNOSTIC_PROBE status; conditional direction
mom_5h,COMPLETE,5小时价格动量：短期趋势延续信号。捕捉更快的价格漂移。,5-hour price momentum: short-term trend continuation signal. Captures faster-mov,yes,no,DIAGNOSTIC_PROBE status
mom_10h,COMPLETE,10小时价格动量：连接超短期和中期趋势信号。,10-hour price momentum: bridges very short-term and medium-term trend signals.,yes,no,DIAGNOSTIC_PROBE status
mom_40h,COMPLETE,40小时价格动量：较长期趋势信号。反应较慢但更稳定。,40-hour price momentum: longer-term trend signal. Slower to react but more stabl,yes,no,DIAGNOSTIC_PROBE status
rev_3h,COMPLETE,3小时反转：3小时价格变动后的短期均值回归。,3-hour reversal: short-term mean-reversion after 3h price moves.,yes,no,DIAGNOSTIC_PROBE status
rev_10h,COMPLETE,10小时反转：中期均值回归信号。,10-hour reversal: medium-term mean-reversion signal.,yes,no,DIAGNOSTIC_PROBE status
rev_24h,COMPLETE,24小时（1天）反转：捕捉日内均值回归。因子库中最强的反转信号。,24-hour (1-day) reversal: captures daily mean-reversion. Strongest reversal sign,yes,no,DIAGNOSTIC_PROBE status
vol_5h,COMPLETE,5小时已实现波动率：短窗口波动率。对近期市场状态更敏感但噪音更大。,5-hour realized volatility: short-window volatility. More responsive to recent m,yes,no,DIAGNOSTIC_PROBE status
vol_40h,COMPLETE,40小时已实现波动率：长窗口波动率指标。更稳定，反应较慢。,"40-hour realized volatility: longer-window volatility measure. More stable, slow",yes,no,DIAGNOSTIC_PROBE status
vol_ratio_5_20,DIRECTION_AMBIGUOUS,波动率比（5h/20h）：短期vs中期波动率。检测波动率扩张/收缩状态。,Volatility ratio (5h/20h): short-term vs medium-term volatility. Detects volatil,yes,yes,DIAGNOSTIC_PROBE status; conditional direction
range_1h,DIRECTION_AMBIGUOUS,1小时标准化区间：(最高-最低)/收盘价。当前K线区间占价格的比例。,1-hour normalized range: (high-low)/close. Current bar's range as a fraction of ,yes,yes,DIAGNOSTIC_PROBE status; conditional direction
range_4h,DIRECTION_AMBIGUOUS,4小时区间：(4期最高-4期最低)/收盘价。4根K线内最高价减最低价，按价格标准化。,"4-hour range: (HH4-LL4)/close. Highest high minus lowest low over 4 bars, normal",yes,yes,DIAGNOSTIC_PROBE status; conditional direction
range_24h,DIRECTION_AMBIGUOUS,24小时区间：(24期最高-24期最低)/收盘价。全天区间按价格标准化。,24-hour range: (HH24-LL24)/close. Full-day range normalized by price.,yes,yes,DIAGNOSTIC_PROBE status; conditional direction
price_pos_24h,DIRECTION_AMBIGUOUS,24小时价格位置：(收盘-24期最低)/(24期最高-24期最低)。当前价格在24小时区间中的位置。0=在最低点，1=在最高点。,24h price position: (close-LL24)/(HH24-LL24). Where current price sits in the 24,yes,yes,DIAGNOSTIC_PROBE status; conditional direction
price_pos_72h,DIRECTION_AMBIGUOUS,72小时价格位置：价格在3天高低区间中的位置。,72h price position: where price sits in the 3-day high-low range.,yes,yes,DIAGNOSTIC_PROBE status; conditional direction
vol_zscore_20h,COMPLETE,20小时成交量Z分数：当前成交量相对于20小时滚动均值/标准差的异常程度。检测成交量放大。,20h volume z-score: how unusual current volume is vs its 20h rolling mean/std. D,yes,no,DIAGNOSTIC_PROBE status
vol_zscore_48h,COMPLETE,48小时成交量Z分数：更长窗口的成交量异常检测。,48h volume z-score: longer-window volume anomaly detection.,yes,no,DIAGNOSTIC_PROBE status
qvol_zscore_20h,COMPLETE,20小时成交额Z分数：美元计价成交额的Z分数。检测异常的美元成交活动。,20h quote volume z-score: z-score of USD-denominated trading volume. Detects unu,yes,no,DIAGNOSTIC_PROBE status
qvol_zscore_48h,COMPLETE,48小时成交额Z分数：更长窗口的美元成交异常检测。,48h quote volume z-score: longer-window USD volume anomaly detection.,yes,no,DIAGNOSTIC_PROBE status
ma_gap_5_20,COMPLETE,均线差（5/20）：(SMA5-SMA20)/SMA20。短期和长期均线之间的差距。正值=上升趋势。,MA gap (5/20): (SMA5-SMA20)/SMA20. Gap between short and long moving averages. P,yes,no,DIAGNOSTIC_PROBE status
ma_gap_10_40,COMPLETE,均线差（10/40）：中期趋势指标。(SMA10-SMA40)/SMA40。,MA gap (10/40): medium-term trend indicator. (SMA10-SMA40)/SMA40.,yes,no,DIAGNOSTIC_PROBE status
breakout_dist_20h,COMPLETE,20小时突破距离：(收盘-20期最高)/(20期最高-20期最低)。价格超出20小时高点的距离。正值=新高。,20h breakout distance: (close-HH20)/(HH20-LL20). How far price is above/below th,yes,no,DIAGNOSTIC_PROBE status
breakout_dist_48h,COMPLETE,48小时突破距离：价格超出48小时高低区间的距离。,48h breakout distance: how far price has moved beyond the 48h high-low range.,yes,no,DIAGNOSTIC_PROBE status
candle_body,DIRECTION_AMBIGUOUS,K线实体比率：(收盘-开盘)/(最高-最低)。衡量K线区间中实体vs影线的比例。1=全实体（强移动），0=全影线（犹豫）。,Candle body ratio: (close-open)/(high-low). Measures how much of the bar range i,yes,yes,DIAGNOSTIC_PROBE status; conditional direction
candle_wick_upper,COMPLETE,"上影线比率：(最高-max(开盘,收盘))/(最高-最低)。衡量上影线长度。长上影线=高价位的卖压。","Upper wick ratio: (high-max(open,close))/(high-low). Measures upper shadow lengt",yes,no,DIAGNOSTIC_PROBE status
candle_wick_lower,COMPLETE,"下影线比率：(min(开盘,收盘)-最低)/(最高-最低)。衡量下影线长度。长下影线=低价位的买压。","Lower wick ratio: (min(open,close)-low)/(high-low). Measures lower shadow length",yes,no,DIAGNOSTIC_PROBE status
xs_rank_ret_1h,DIRECTION_AMBIGUOUS,截面1小时收益排名：在每个时间戳按1小时收益对所有标的排名。捕捉相对表现。,Cross-sectional 1h return rank: ranks all symbols by their 1h return at each tim,yes,yes,DIAGNOSTIC_PROBE status; conditional direction
xs_rank_vol,DIRECTION_AMBIGUOUS,截面成交量排名：按20小时平均成交量对所有标的排名。捕捉相对流动性/关注度。,Cross-sectional volume rank: ranks all symbols by their 20h average volume. Capt,yes,yes,DIAGNOSTIC_PROBE status; conditional direction
ema_12_26_gap,COMPLETE,EMA 12/26差：(EMA12-EMA26)/EMA26。快慢指数均线之间的差距。,EMA 12/26 gap: (EMA12-EMA26)/EMA26. Gap between fast and slow exponential moving,yes,no,DIAGNOSTIC_PROBE status
rsi_7h,COMPLETE,7小时RSI：更快反应的RSI变体。对近期价格变化更敏感。,7-hour RSI: faster-reacting RSI variant. More sensitive to recent price changes.,yes,no,DIAGNOSTIC_PROBE status
rsi_28h,COMPLETE,28小时RSI：更慢的RSI变体，用于更长期的超买/超卖检测。,28-hour RSI: slower RSI variant for longer-horizon overbought/oversold detection,yes,no,DIAGNOSTIC_PROBE status
williams_r_14h,COMPLETE,14小时威廉%R：(14期最高-收盘)/(14期最高-14期最低)。动量振荡器，0-1范围。0=在最高点，1=在最低点。,"14h Williams %R: (HH14-close)/(HH14-LL14). Momentum oscillator, 0-1 scale. 0=at ",yes,no,DIAGNOSTIC_PROBE status
downside_vol_20h,COMPLETE,"20小时下行波动率：std(min(ret,0), 20)。仅从负收益计算的波动率。衡量崩盘风险。","20h downside volatility: std(min(ret,0), 20). Volatility computed only from nega",yes,no,DIAGNOSTIC_PROBE status
vol_of_vol_20h,COMPLETE,"20小时波动率的波动率：std(std(ret,5), 20)。衡量波动率本身的波动程度。越高=风险越不可预测。","20h volatility-of-volatility: std(std(ret,5), 20). Measures how much volatility ",yes,no,DIAGNOSTIC_PROBE status
mom_accel_20h,COMPLETE,动量加速度：过去5根K线内20小时动量的变化。检测趋势是在加速还是减速。,Momentum acceleration: change in 20h momentum over the last 5 bars. Detects whet,yes,no,DIAGNOSTIC_PROBE status
qvol_ma_ratio_5_20,COMPLETE,成交额均线比（5/20）：短期vs中期美元成交额。>1意味着近期成交额高于正常。,Quote volume MA ratio (5/20): short vs medium-term dollar volume. >1 means recen,yes,no,DIAGNOSTIC_PROBE status
ma_gap_20_80,COMPLETE,均线差（20/80）：长期趋势指标。(SMA20-SMA80)/SMA80。,MA gap (20/80): long-term trend indicator. (SMA20-SMA80)/SMA80.,yes,no,DIAGNOSTIC_PROBE status
taker_buy_ratio_20h,NEEDS_REVIEW,20小时主动买入比率：20根K线内（主动买入成交额/总成交额）的滚动均值。衡量买方进攻性。非独立交易信号——流动状态诊断。,20h taker buy ratio: rolling mean of (taker buy quote volume / total quote volum,yes,yes,DIAGNOSTIC_PROBE status
taker_buy_zscore_20h,NEEDS_REVIEW,20小时主动买入Z分数：主动买入比率的20小时Z分数。检测异常激进的买入或卖出。,20h taker buy z-score: z-score of taker buy ratio over 20 bars. Detects unusuall,yes,yes,DIAGNOSTIC_PROBE status
taker_buy_delta_5h,NEEDS_REVIEW,5小时主动买入变化：主动买入比率在5根K线内的变化。检测买方/卖方进攻性的快速转变。,5h taker buy delta: change in taker buy ratio over 5 bars. Detects rapid shifts ,yes,yes,DIAGNOSTIC_PROBE status
funding_rate_level_20h,NEEDS_REVIEW,20小时资金费率水平：20根K线内永续资金费率的滚动均值。高正值资金费率=拥挤多头向空头付费。,20h funding rate level: rolling mean of perpetual funding rate over 20 bars. Hig,yes,yes,DIAGNOSTIC_PROBE status
funding_rate_zscore_80h,NEEDS_REVIEW,80小时资金费率Z分数：资金费率的80小时Z分数。检测异常极端的资金费率状态。,80h funding rate z-score: z-score of funding rate over 80 bars. Detects unusuall,yes,yes,DIAGNOSTIC_PROBE status
funding_rate_change_24h,NEEDS_REVIEW,24小时资金费率变化：资金费率 - 24期前资金费率。资金费率快速上升=多头快速拥挤。,24h funding rate change: funding_rate - funding_rate_lag(24). Fast rise in fundi,yes,yes,DIAGNOSTIC_PROBE status
mom_72h,COMPLETE,72小时（3天）动量：捕捉多日趋势延续。作为长期效应的诊断探针。,72-hour (3-day) momentum: captures multi-day trend continuation. Used as diagnos,yes,no,DIAGNOSTIC_PROBE status
mom_120h,COMPLETE,120小时（5天）动量：超长期趋势信号。用于诊断机构级漂移效应。,120-hour (5-day) momentum: very long-horizon trend signal. Diagnostic probe for ,yes,no,DIAGNOSTIC_PROBE status
rev_1h,COMPLETE,1小时反转：超短期均值回归信号。捕捉小时级价格下跌后的微反弹。,1-hour reversal: very short-term mean-reversion signal. Captures micro-bounce af,yes,no,DIAGNOSTIC_PROBE status
rev_72h,COMPLETE,72小时（3天）反转：更长视野的均值回归诊断。,72-hour (3-day) reversal: longer-horizon mean-reversion diagnostic.,yes,no,DIAGNOSTIC_PROBE status
vol_ratio_20_80,DIRECTION_AMBIGUOUS,波动率比（20h/80h）：中期vs长期波动率状态诊断。,Volatility ratio (20h/80h): medium-term vs long-term volatility regime diagnosti,yes,yes,DIAGNOSTIC_PROBE status; conditional direction
realized_skew_20h,DIRECTION_AMBIGUOUS,20小时已实现偏度：20根K线小时收益的滚动偏度。正偏度=偶发大涨。负偏度=偶发大跌。,20h realized skewness: rolling skewness of hourly returns over 20 bars. Positive,yes,yes,DIAGNOSTIC_PROBE status; conditional direction
realized_kurt_20h,DIRECTION_AMBIGUOUS,20小时已实现峰度：20根K线小时收益的滚动峰度。高峰度=厚尾=比正态分布预测的极端移动更多。,20h realized kurtosis: rolling kurtosis of hourly returns over 20 bars. High kur,yes,yes,DIAGNOSTIC_PROBE status; conditional direction
amihud_illiquidity_20h,COMPLETE,"20小时Amihud非流动性：mean(|收益| / 成交额, 20)。衡量每美元交易的价格影响。越高=流动性越差。","20h Amihud illiquidity: mean(|return| / quote_volume, 20). Measures price impact",yes,no,DIAGNOSTIC_PROBE status
qvol_ma_ratio_20_80,DIRECTION_AMBIGUOUS,成交额均线比（20/80）：中长期美元成交额状态。,Quote volume MA ratio (20/80): medium vs long-term dollar volume regime.,yes,yes,DIAGNOSTIC_PROBE status; conditional direction
price_volume_corr_20h,DIRECTION_AMBIGUOUS,"20小时量价相关：corr(小时收益, 成交额变化率, 20)。正值=成交量确认价格变动。负值=成交量背离。","20h price-volume correlation: corr(hourly return, pct_change(quote_volume), 20).",yes,yes,DIAGNOSTIC_PROBE status; conditional direction
trend_efficiency_24h,COMPLETE,"24小时趋势效率：|24小时收益| / sum(|1小时收益|, 24)。衡量方向性移动有多'干净'。1.0=直线，接近0=震荡。","24h trend efficiency: |24h return| / sum(|1h returns|, 24). Measures how 'clean'",yes,no,DIAGNOSTIC_PROBE status
price_pos_120h,DIRECTION_AMBIGUOUS,120小时（5天）价格位置：价格在5天高低区间中的位置。,120h (5-day) price position: where price sits in the 5-day high-low range.,yes,yes,DIAGNOSTIC_PROBE status; conditional direction
rev_2h,AUTO_GENERATED_REVIEW_REQUIRED,捕捉2小时价格变动后的短期均值回归。公式已取反，值越高=前期跌幅越大。,Captures short-term mean-reversion after 2h price moves. Formula is sign-inverte,no,yes,DIAGNOSTIC_PROBE status
mom_vol_adjusted_20h,AUTO_GENERATED_REVIEW_REQUIRED,衡量21小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 21h. Higher values indicate stronger recent upw,no,yes,DIAGNOSTIC_PROBE status
range_breakout_vol_confirm_20h,AUTO_GENERATED_REVIEW_REQUIRED,价格超越20小时高点的距离。正值=创新高。,How far price has moved beyond its 20h high. Positive = new high.,no,yes,DIAGNOSTIC_PROBE status
volume_pressure_20h,AUTO_GENERATED_REVIEW_REQUIRED,21小时量价关系指标。,Volume-price relationship metric over 21h.,no,yes,DIAGNOSTIC_PROBE status
up_down_vol_ratio_20h,AUTO_GENERATED_REVIEW_REQUIRED,使用OHLCV数据的Alpha158衍生因子。,Alpha158-derived factor using OHLCV data.,no,yes,DIAGNOSTIC_PROBE status
xs_rank_mom_accel,AUTO_GENERATED_REVIEW_REQUIRED,25小时指标在所有标的中的截面排名。,Cross-sectional rank of 25h metric across all symbols.,no,yes,DIAGNOSTIC_PROBE status
clv_20h,AUTO_GENERATED_REVIEW_REQUIRED,衡量20小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 20h. Higher values indicate stronger recent upw,no,yes,DIAGNOSTIC_PROBE status
a101_volume_xs_z_mean_neg_112h,AUTO_GENERATED_REVIEW_REQUIRED,衡量112小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 112h. Higher values indicate stronger recent up,no,yes,DIAGNOSTIC_PROBE status
a101_vol_xs_z_product_112h,AUTO_GENERATED_REVIEW_REQUIRED,衡量112小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 112h. Higher values indicate stronger recent up,no,yes,DIAGNOSTIC_PROBE status; conditional direction
a101_volume_low_alpha_min_84_120,AUTO_GENERATED_REVIEW_REQUIRED,衡量203小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 203h. Higher values indicate stronger recent up,no,yes,DIAGNOSTIC_PROBE status; conditional direction
a101_volume_cap_alpha_min_80_80,AUTO_GENERATED_REVIEW_REQUIRED,衡量159小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 159h. Higher values indicate stronger recent up,no,yes,DIAGNOSTIC_PROBE status; conditional direction
a101_volume_cap_alpha_min_56_84,AUTO_GENERATED_REVIEW_REQUIRED,衡量139小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 139h. Higher values indicate stronger recent up,no,yes,DIAGNOSTIC_PROBE status; conditional direction
a101_volume_high_alpha_min_84_84,AUTO_GENERATED_REVIEW_REQUIRED,衡量167小时内的价格延续性。值越高表示近期向上漂移越强。,Measures price continuation over 167h. Higher values indicate stronger recent up,no,yes,DIAGNOSTIC_PROBE status; conditional direction
